"ACSCluster","AgentNodeName"
"720cfcbe-dd20-4df4-85b0-221e7f17a569srprodacsaueb","k8s-egwebpubsub-92268319-z1-vmss000001"
"720cfcbe-dd20-4df4-85b0-221e7f17a569srprodacsaueb","k8s-egwebpubsub-92268319-z2-vmss000000"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-rp-15381743-vmss000000"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-rp-15381743-vmss000001"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-rp-15381743-vmss000002"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-rp-15381743-vmss000003"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-rp-15381743-vmss000004"
"9ac1c814-ec67-4a83-b4c8-924116c868f9","aks-system-15381743-vmss000000"
"f6449602-c95f-4ebb-a12d-ad164dc41c8dsrprodacsbrsa","k8s-system-27916122-vmss000000"
"c67c7f54-2c85-4ef7-90ca-f9488da97c7fsrprodacscacea","k8s-egwebpubsub-77314816-z2-vmss000001"
